destTitle,destDesc,divDestType,btn-md
1. Katiki / Katika Waterfalls,"At a distance of 7 km from Borra Caves, 39 km from Araku, 90 km from Vizag & 665 km from Hyderabad, Katiki or Katika Waterfall is magnificent waterfall situated near Borra Caves in Visakhapatnam district of Andhra Pradesh. It is one of the best waterfalls in Araku and also among the top places to visit in Araku.The name of the falls is derived from the name of the village nearby. Katiki waterfall is formed by the Gosthani River and it cascading down from a height of 100+ feet. The pond at the bottom of the waterfall is an excellent place for taking a bath after a tough trek to the place. It has to be reached by 20-30 minutes trek (one way) through lush forest and upwards to mountain top from the nearest motorable road. Cooking and camping are also permitted at this place. This is also a good place for trekking.To reach Katiki falls from Araku, you have to take Borra Caves road at Mulyaguda junction between Araku and Visakhapatnam (around 30 km from Araku, after Anantagiri). Cross the Borra Caves railway crossing on the same road. Nearly 2 km from the railway crossing, you have to take left turn where the straight road takes to Borra Caves (caves are 2 km from here). After 300 meters on the same road, take a left turn and go for about 4-5 km. The road ends at the railway track near Tunnel #44. From here, you have to cross the railway track and go straight trekking the mountain. The falls are nearly 20-30 minutes trek from here and the path is narrow and slippery. ...",Distance from Vizag: 97 Kms,Katiki / Katika Waterfalls Tourist Places
2. Yerravaram Waterfalls,"At a distance of 20 km from Lambasingi, and 25 km from Narsipatnam, Yerravaram Falls is a picturesque waterfall located at Yerravaram village in Narsipatnam Taluk of Andhra Pradesh. Situated on Narsipatnam-Chintapalli Road, it is one of the mesmerizing waterfalls in the Narsipatanam region and among the must include places to visit as part of the Lambasingi Tour Packages.Yerravaram waterfall is situated in Yerravaram, a beautiful valley known for its lush green pastures, breathtaking views, and wide meadows.  The waterfall spans around 10 feet in height and 15 feet wide. The water drops in different cascades and forms a pool at the bottom. It is a year-round waterfall. Those who are interested in hill-climbing, then this is the best place for them. This place attracts a large number of tourists during the summer and winter seasons. To reach the falls, one can hire a cabs auto from Narsipatnam City till Yerravaram village and then hike up to 5 km amidst the dense forest cover. With multiple trails to explore and numerous viewpoints, this place is a true (hidden) treasure. Activities like trekking, stargazing, and camping are much recommended in this area.Timings: 6 AM - 5 PM",Distance from Vizag: 96 Kms,Yerravaram Waterfalls Tourist Places
3. Rampa Waterfalls,"At a distance of 4 km from Rampachodavaram village and 29 km from Maredumilli, Rampa Waterfalls is a stunning waterfall in East Godavari district of Andhra Pradesh. It is one of the popular places to visit in Maredumilli and among the best waterfalls in Andhra.Also known as Rampachodavaram Falls, the waterfall cascades down from a height of about 50 feet. Situated near Rampachodavaram village, this is the only coastal fall in Andhra Pradesh.  One can take a dip in this falls amidst thick jungle is very refreshing. Water remains throughout the year in this waterfall and the downstream. The waterfall is located in a dense jungle and can be accessed by jeeps. The drive through the dense jungle is an exhilarating experience. The road and the area up to the waterfall are maintained by local villagers. There is a small trek to reach the waterfall from the entrance. While climbing the flowing water stream will be at your right and there are several small waterfalls making the small trek more enjoying. It will be a 20 minutes climb to reach the main waterfall. There is an ancient Shiva Temple named Sri Neelakanteswara temple near the Rampachodavaram waterfalls. A dance festival is organized every year on Shivratri day here where famous tribal dance Vela is displayed. During this dance, the costumes used by the dancers are very attractive.Timings: 8 AM - 5 PMEntry Fee: Rs. 10 for Person",Distance from Vizag: 200 Kms,Rampa Waterfalls Tourist Places
4. Polluru Waterfalls / Mothugudem Falls,"At a distance of 7 km from Mothugudem, 36 km from Chinturu, 65 km from Maredumilli and 102 km from Bhadrachalam, Mothugudem waterfalls is a mesmerizing waterfall situated near Polluru village in Chinturu Mandal of Khammam district in Telangana. Also known as Mothugudem Falls, it is one of the popular places to visit near Maredumilli.Locally known as Thadikevagu Falls, the waterfall is nestled in the Lakkavaram forest range of Bhadrachalam. This enchanting waterfall has several streams flowing in three stages. It is brimming with visitors from far and near particularly on weekends. The water is crystal clear and take a bath in this falls is very refreshing. The falls is in full spate and avoid getting into the water during monsoon. One can also go for a trek into the surrounding forest.There is no direct public transportation to reach the falls. Tourists have to make their own arrangements to reach this wonderful destination. One needs to reach Chinturu by bus from Bhadrachalam or Maredumilli and then Mothugudem. There is a mud road till the falls from the entrance.The area has only very basic facilities so if you are visiting better pack some food. There is no accommodation available near the falls. Visitors need to report at the police station with ID proof as this is an Agency Area. Timings: 9 AM - 5 PMEntry: Rs. 10 for Person",Distance from Vizag: 287 Kms,Polluru Waterfalls / Mothugudem Falls Tourist Places
5. Bogatha Waterfall,"At a distance of 30 km from Eturnagaram, 89 km from Ramappa Temple, 120 km from Bhadrachalam, and 140 km from Warangal, Bogatha Waterfall is a nice waterfall situated near Chikupally village in Wajedu Mandal in Khammam district of Telangana. Also known as Chikupally Falls, this is one of the popular tourist places to visit near Hyderabad, and among the best waterfalls in Telangana.Situated in a forest region between Kaleswaram and Bhadrachalam, Bogatha Falls is formed on Chikupally Vagu that merges with River Godavari. Situated amidst thick vegetation, Bogatha Falls is a favorite picnic spot for the residents of nearby villages. Dropping from a height of over 30 feet in several parallel streams, the water is collected into a large pool at the bottom of the falls. Swimming in the pool is a favorite activity here and swimming here is considered safe.To reach the falls from Eturnagaram, drive past Godavari Bridge and reach Chikupally village which is 11 km from New Godavari River bridge past Jagannathapuram village. From Chikupally, take a right turn and drive for less than 500 meters and take a right turn again towards Bogatha Falls. The road from here runs through rocky terrain for about 1 km from where visitors need to walk for a distance of 500 meters to reach the falls. Two-wheelers can reach pretty close to the falls.There is a temple dedicated to Bogateswara Swamy near the temple. The upper part of the falls can be reached from the temple.Timings: ...",Distance from Vizag: 444 Kms,Bogatha Waterfall Tourist Places
