qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,doJOZc,W4Efsd 6
Mahesh garden,,,Park,·,CW6Q+63,Open now,,,,
Satambakam families Garden,3.5,-8,Garden,·,74HW+97H,,,,,
Manila Srinivas Gardens,5.0,-3,Garden,·,"744X+WWW, Garampalli Rd",,,,,
Roopshika Gardens,4.9,-10,Garden,·,"9CJQ+M7H, Unnamed Road",,,,,
Bitti Devaraj Gardens,5.0,-1,Garden,·,GH24+PQR,,,,,
Radhapathi naidu,4.0,-1,Garden,·,FQFC+8R,,,,,
Madina fam House plant Area,5.0,-2,Hiking area,·,FR7G+22,,,,,
B.M.R Mango Garden,4.0,-5,Garden,·,"GQG3+JPR, Punganur-Kalikiri Rd",,,,,
Bhaskar Naidu Mango Garden,5.0,-4,Garden,·,"HR32+J29, Kanduru - Balamvaripalle Rd",,,,,
Bhaskar Naidu Mango Garden,5.0,-4,Garden,·,"HR32+J29, Kanduru - Balamvaripalle Rd",,,,,
