qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Sri Vaishnavi Tea Time,4.0,-1,,,Coffee shop,·,"8V5X+528, beside RCM Loyola EM High school",Open,· Closes 9 pm,"""It was located beside DR.""",,,,,,
Hotel Dawath Multicuisine Restaurant KATTAS,3.7,"-1,764",·,₹200–400,Biryani,·,·,Closed,· Opens 11:45 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Aditya Tarun Tiffin Parlour,3.6,-23,,,Breakfast,·,"APSRTC Complex, Opp. SP Office, Near",Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Tea Time,4.0,-4,,,Coffee shop,·,"3-2-66/2, Ranga Raju St",Open,· Closes 9 pm,Dine-in,,,,,,
TIME PASS CAFE,,,,,Coffee shop,·,"h 16, Side of n, near simulia college",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Irani dude,4.8,-6,,,Coffee shop,·,"Junction, Rama Laxmana Rd",,,,,,,,,
Irani Chai Kosta,4.9,-8,,,Coffee shop,·,"5MGF+HRP, Vizag - Srikakulam Hwy",,,Takeaway,,,,,,
Coffee and tea powders. Shop,5.0,-1,,,Coffee shop,·,8-6-58/3,,,,,,,,,
Kothapeta,,,,,Coffee shop,·,7WF4+CGR,,,,,,,,,
SipNpop,,,,,Coffee shop,·,"mind space food, China bazar road, street sipnpop",,,,,,,,Order online,
tea junction,4.3,-7,,,Coffee shop,·,8WX2+CXM,Closed,· Opens 5:30 am Tue,Dine-in,·,Drive-through,·,No-contact delivery,,
Gluttons Garage,4.0,"-2,387",·,"₹200–1,000",Cafe,·,·,Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,
BREW N CUE - A CONTINENTAL BISTRO,4.4,-188,·,"₹200–1,000",Continental restaurant,·,"DOOR NO:11-9, SAI SAGAR SAUDHA,FIRST FLOOR,PLOT NO 53, 37/1",Open,· Closes 10:30 pm,"""The",,coffee,,"was top-notch—rich, smooth, and clearly brewed with care.""",Order online,
Tea dot com,4.7,-3,,,Coffee shop,·,7XWV+52G,,,Dine-in,,,,,,
ambati Sankararao,4.4,-7,,,Coffee shop,·,7XWV+52,,,Dine-in,·,Takeaway,·,Delivery,,
Plan C cafe,5.0,-1,,,Cafe,·,near GEMS Hospital,,,,,,,,,
ARAKU COFFEE,1.0,-1,,,Coffee shop,·,7VXC+VMX,,,Dine-in,,,,,,
Family Tea Times,5.0,-2,,,Coffee shop,·,"7WQ2+VPR, Womens College Rd",,,,,,,,,
Sri Sai Durga Dhaba - Shankar,3.8,-674,·,₹200–400,Dhaba,·,8WF5+MWV Pm,Closed,· Opens 11 am,Dine-in,·,Drive-through,·,Delivery,,
Kanivika Tea Tom,3.0,-4,,,Coffee shop,·,1,,,Dine-in,·,Takeaway,,,,
TEA HOUSE,4.4,-58,·,₹1–200,Coffee shop,·,P85R+MQH,,,Delivery,,,,,,
KFC,4.1,"-2,242",·,"₹200–1,200",Restaurant,·,·,Opens soon,· 11 am,No-contact delivery,·,No dine-in,·,No takeaway,Order online,
Gatos cafe,5.0,-1,,,Coffee shop,,,,,Dine-in,·,Takeaway,·,Delivery,,
Divya Pan Shop,4.3,-14,,,Store,·,"D.No-84/48, Sanapalavani Peta Village Fareedpeta Post, NH 16",Closes soon,· 11 am · Opens 4 am Tue,Dine-in,·,Takeaway,,,,
krishnarao tifins,5.0,-1,,,Coffee shop,·,main road,,,,,,,,,
Cyber Street Internet & Travels,1.0,-1,,,Internet cafe,·,7VVV+Q9R,,,,,,,,,
Kinnera Cinemax,3.7,"-5,041",,,Movie theater,·,·,,,"""But, cool drinks and snacks are expensive.""",,,,,,
Kamakshi restaurant cooker pulao,3.7,-11,·,₹1–200,Indian,·,"8V3M+V67, MDR6",Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,
Kova Bun,,,,,Coffee shop,·,"Police Station, opposite Palakonda - Kothuru Road",Open,· Closes 10 pm,Dine-in,,,,,,
SAVARA ANITHA,,,,,Coffee shop,·,Main Road,,,Dine-in,,,,,,
Muara ampolu,,,,,Coffee shop,·,7XXP+222,,,,,,,,,
Ironhill Visakhapatnam,4.2,"-7,763",·,₹₹,Brewery,·,"1st 25, 9, 30-1, Waltair Main Rd, Above PMJ Jewellwers",Closed,· Opens 12 pm,On-site services,,,,,Order online,
Sunkari Govinda,,,,,Coffee shop,·,Shop Number 11,,,Dine-in,,,,,,
FRIENDS NET CENTER,5.0,-49,,,Computer training school,·,"FRIENDS NET, PALLI STREET",Open,· Closes 6 pm,"""RATED 5 OUT OF 5 ....""",,,,,,
V cafe,,,,,Coffee shop,·,"Pinagadi junction Pendhurthi Highway NH16, Road",,,,,,,,,
TEA TALK,5.0,-2,,,Coffee shop,·,"Amadalavalasa bridge, Ragolu - Palakonda Rd",,,,,,,,,
YALAKALA SAI TEJA,,,,,Coffee shop,·,Palakonda - Kothuru Rd,,,Dine-in,,,,,,
T VANAMM,3.7,-3,,,Coffee shop,·,289,,,,,,,,,
96 Tea Time,,,,,Coffee shop,·,"14-9-61/9-K, CB Rd",,,,,,,,,
Ayodhya Rama Tea Shop,,,,,Coffee shop,·,"Dhavar Pata Jucton, Palakonda - Kothuru Rd",,,,,,,,,
Rajamma Tea Point,,,,,Coffee shop,·,Bus Stop Ln,,,,,,,,,
Srinu annya shop,,,,,Coffee shop,·,"212, 80 Feet Rd",,,,,,,,,
Aroma Kitchen,4.9,-49,,,Restaurant,·,Beach Rd,,,"""Tasty and yummy food""",,,,,,
"Near Sri Venkateswara kirana shop, chinnaupparipet , Srikakulam Andhra Pradesh",,,,,Coffee shop,·,"7WP7+G94, near Sri Venkateswara kirana shop",,,,,,,,,
Tea Time,1.0,-1,,,Coffee shop,·,4 D,,,,,,,,,
Tea time,,,,,Coffee shop,·,8V5V+RQ8 ఆర్.టి.సి కాంప్లెక్స్,,,,,,,,,
