qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Savera Grand Restuarant & Bar,4.1,-163,·,"₹400–1,600",Restaurant,·,"Besides old Pandu Ranga Theater, Benerji Peta, 8-1-11",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
GOLDEN FRYZ,4.7,-150,·,₹1–200,Restaurant,·,VidyaVikas Rd,Closed,· Opens 3 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
Krigo fine dining family restaurant,4.2,"-1,418",·,"₹400–1,600",Biryani,·,Opp:- syndicate bank,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
"Golden Spoon, Eluru",3.9,"-1,009",·,₹200–400,Biryani,·,P35R+PCH,Opens soon,· 11:30 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Tea moments Cafe with snacks and general stores,4.8,-46,·,₹1–200,Coffee shop,·,new highway,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,,,,
Meet Up Food Court,4.1,-267,·,₹200–400,Fast Food,·,"P36W+739, Opp Sweet Basket,Vijaya Vihar Center, R.R.Pet Main Road",Open,· Closes 9 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Hotel Green Zone,4.3,-262,·,₹200–400,Family-friendly,·,·,Closed,· Opens 12 pm,Dine-in,·,Drive-through,,,,
7th Heaven,4.6,-802,·,₹200–400,Bakery and Cake Shop,·,"20C, 22-4, R.R.Pet Main Road, near Ganganamma Temple",Open,· Closes 10 pm,On the menu:,,cafes,,,Order online,
Relax Tea Corner,3.8,-18,·,₹1–200,Coffee shop,·,"P36W+642, MDR6",,,Dine-in,·,Takeaway,·,Delivery,Order online,
Juice Pub,3.7,-624,·,₹1–200,Juice,·,"15-141, Sanivarapupeta Rd",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
My Village Dhaba,4.2,-132,·,₹200–400,Restaurant,·,·,Opens soon,· 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,,
RJ Hyderabad biryani,4.5,-58,·,₹200–400,Indian,·,"beside CMR shopping mall, opposite RTC bus depot",Opens soon,· 11:30 am,Dine-in,·,Takeaway,·,Delivery,,
BIGGUYS: Korean Fried Chicken (Eluru),4.9,-237,·,"₹200–1,400",Fast Food,·,"2nd Floor, CMR Central",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Gismat Jail Mandi,3.8,-860,·,"₹200–1,400",Biryani,·,"23A-7-68/1, Rangoon Palace Street",Closed,· Opens 12:30 pm,Takeaway,·,Delivery,,,,
Vijetha Vindhu Bhojanam,4.4,-31,·,₹200–400,Restaurant,·,"hotel, navayuga road, nr. pet",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Akarsh Pride Restaurant,3.6,"-1,885",·,"₹200–1,200",Restaurant,·,·,Closed,· Opens 12 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,
Little Chef,4.1,-512,·,₹200–400,Biryani,·,9 line,Open,· Closes 11:11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Swarna Restaurant and Bar,4.0,-166,·,"₹200–1,400",Grill,·,"Badeti, street",Open,· Closes 11:30 pm,Dine-in,·,Takeaway,,,,
Bilal Restaurant,4.1,-864,·,"₹200–1,400",Restaurant,·,Road number 12,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,Delivery,Order online,
Chennapatnam filter coffee,5.0,-11,·,₹1–200,Coffee shop,·,P4PV+MQ,Open,· Closes 11 pm,Takeaway,,,,,,
"Tiffin & Tea Centre, Opposite Government Hospital, Eluru",4.7,-11,,,Breakfast,·,"P37V+894, MDR14",Open 24 hours,,Dine-in,·,Takeaway,,,,
Gowtham Restaurant & Bar,3.6,-302,·,"₹200–1,000",Grill,·,·,Open,· Closes 10 pm,Dine-in,·,Drive-through,,,,
Mana Voori Pulao,4.2,-35,,,Restaurant,·,"Shop. No : 4,5, Peketi Murali Complex, Railway Station Rd",Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,
Gummadi Grand,3.8,"-3,621",·,"₹200–1,000",Biryani,·,Janapoojitha Estates Rd,Opens soon,· 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Friends Cafe,4.5,-2,,,Music store,·,"Hundi Center, Shop, 1 Main Road",Open now,,"""Super tea with super cleanest and best tea""",,,,,,
Rajarajeswari Hotel,4.6,-37,,,Family-friendly,·,"P457+79C, Buddha Park Raod",Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,
SS YUMMY FOOD COURT,4.2,-330,·,₹400–600,Food court,·,opposite siddartha school,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,Delivery,Order online,
Hotel Nakshatra,4.4,-43,·,₹1–200,Restaurant,·,"25-5-79, near Zilla Parishad Office, beside New stand",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,Delivery,Order online,
Friends Paradise,3.9,-42,·,₹1–600,Restaurant,·,Near More Super Market,Closed,· Opens 12 pm,Dine-in,·,Takeaway,,,,
Tea and coffee shop,,,,,Coffee shop,·,"P453+76H, GNT Rd",,,,,,,,,
Naidu Gari Kunda Biryani - Eluru,3.9,-636,·,₹200–400,Biryani,·,"Vijay Vihar Center, D.No: 6A-9-15, First Floor, MVR Complex, opp. GV Mall",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Durbar Multicuisine Restaurant,3.4,-367,·,₹200–400,Biryani,·,·,Open,· Closes 3 pm · Reopens 7 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Eluru Xerox,4.4,-91,,,Internet cafe,·,"P35P+2Q8, St Xavier's School Rd",,,"""Full speed work experience""",,,,,,
Ambica Flavours,3.2,-26,·,₹400–600,Eatery,·,"1st floor, N, 1st floor, N, busstand, beside RTC",Open 24 hours,,Dine-in,·,Takeaway,·,Delivery,,
G3 RESTAURANT AND DHABA,3.8,-446,·,₹200–400,Dhaba,·,·,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
