qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc
Wooden Deck View point,4.5,(134),Bird watching area,·,,CHVF+M7,,,,"""Amazing view time to become one with nature"""
Chuttu Gunta Walking Track,4.0,(30),Park,·,,"7CVG+266, Chuttugunta Walking Track",,,,"""Offers a pleasant atmosphere for walkers both during mornings and evenings."""
Bhodi dharma park,4.2,(6),Park,·,,"Sivaram Nagar, 7th Line, near Chuttugunta Circle",,Closed,· Opens 4 pm,
Happy Jump Trampoline Park,4.4,"(1,146)",Amusement park,·,,·,"NH16, Checkpost Rd, opp. AMG",Opens soon,· 10 am,On-site services
ITC Residents Park,4.6,(117),Condominium complex,·,,·,"7CVM+GV2, Grand Trunk Rd",Open 24 hours,,"""It is fully greenary and noise free"""
Nallacheruvu Walking Track,4.1,(108),College,·,,7CJR+X9J,,,,"""Good walking ground and peace ful rest place and good air available"""
Swim & Play,3.6,(550),Water park,·,,"118, D7, Mahatma Gandhi Inner Ring Rd",,Open,· Closes 10 pm,"""There is swimming pool and small area for children to play."""
Trekking path At Eco park Mangalagiri,4.6,(60),Hiking area,·,,CHRG+P4,,Open,· Closes 4 pm,"""Route is steep but you can enjoy the nature."""
Children park,3.9,(7),Park,·,,"8C96+MW9, Gujjanagundla Walking Track",,Closed,· Opens 4:30 pm,
,,,,,,,,,,
