qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
CHAI DUNIYA,4.7,-23,·,₹1–200,Cafe,·,opposite to BHUMA park,Open,· Closes 1 pm · Reopens 4 pm,Dine-in,,,,,,
Top Bucket Biryani,4.3,-285,·,₹200–400,Biryani,·,near Narayana school,Closed,· Opens 11 am,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
Tejaswi Family Restaurant,4.2,-173,·,₹200–400,Restaurant,·,TTD Rd,Closed,· Opens 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Delight Hotel,4.1,-233,·,₹1–200,Restaurant,·,"Delight hotel, Byrmal St, near rtc bus stand",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,Delivery,,
MURARI INTERNET CAFE AND HOSTEL,4.6,-197,,,Internet cafe,·,·,Open,· Closes 9:30 pm,On-site services not available,,,,,,
Sree Bheemas Kitchen,3.8,"-2,720",·,₹200–400,Restaurant,·,"Sai Anandam Complex, Tamilnadu Mercantile Bank, Beside, TTD Rd",Closed,· Opens 12 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,
Nizam’s Shawarma Hub,4.5,-102,·,₹1–200,Shawarma restaurant,,,Closed,· Opens 4 pm,Dine-in,·,Drive-through,·,Delivery,Order online,
Ganasri cafe & Sports Arena,5.0,-82,,,Sports complex,,,Open,· Closes 1 am,"""Very friendly staff and worthy for the price""",,,,,,
RRR KITCHENS,3.9,-376,·,₹1–200,Restaurant,·,"RRR Kitchens, opp to National Seeds corporations (NSC Raithunagaram Road, Noonepalli, bridge",Open,· Closes 9 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Chowrasta Cafe,5.0,-2,,,Cafe,·,"2-134E, Ponnapuram Rd, Opposite Sachivalayam, Ngo Colony Rd",,,Dine-in,,,,,,
Spicevault,4.6,-47,·,₹400–600,Restaurant,,,Open now,,Dine-in,·,Takeaway,·,No-contact delivery,,
Dostea tea shop,4.2,-14,·,₹1–200,Coffee shop,·,"FF7R+J3R, 1-64, Nandyal Bank Coaching Centre Rd",Open,· Closes 9:30 pm,Takeaway,,,,,,
New Hotel Tourist Udupi Veg Restaurant,4.1,"-5,039",·,₹1–200,Breakfast,·,"25/140, Nandyal - Atmakur Rd",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
AJWA SHAWARMA & BIRYANI,4.8,-70,·,₹1–200,Shawarma restaurant,·,"No 25, Revenue Ward, 2/414/3",Closed,· Opens 12 pm,Dine-in,·,Takeaway,,,,
om Rayalaseema Ruchulu,4.1,-70,·,"₹200–1,000",Restaurant,·,"First Floor, Udayananda Residency, opposite Medical College",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Ganga & Yamuna Hotel Nandyal,3.8,"-1,049",·,₹1–200,Vegetarian cafe and deli,·,"Main road, beside Ganga Hotel",Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,
The Joint Al Mandi,3.9,-96,·,₹200–400,Restaurant,·,FFJM+PM6,Closed,· Opens 12 pm,Dine-in,·,Takeaway,,,Order online,
Shiridi Sai Bakery(Venky Canteen),4.7,-6,,,Cafe,·,"25, 506A, beside Syndicate Bank",Open,· Closes 9:30 pm,Dine-in,·,Drive-through,,,,
Hotel Savitha Udupi Veg Restaurant,4.1,"-1,688",·,₹1–200,South Indian,·,"ground floor, Sanjeeva Nagar gate Dwaraka lodge",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,Delivery,Order online,
Bellam chai,4.0,-12,,,Coffee shop,·,FFMM+CRW,Open,· Closes 9:30 pm,Dine-in,·,Takeaway,,,,
Arab'S Shawarma,4.1,-78,·,₹1–200,Shawarma restaurant,·,"Sports acadamy, Padmavati Nagar Rd, opposite to Bajaj electronics",Closed,· Opens 5 pm,Dine-in,·,Drive-through,·,Delivery,,
Aadhya’s Barbeque Grills,4.6,-95,·,"₹200–1,200",Indian,·,"FFPM+G22, Atmakur Rd",Closed,· Opens 11 am,Dine-in,·,Takeaway,,,Order online,
Kohinoor Spice(old sai siri vennela),4.2,-46,,,Ice Cream,,,Closed,· Opens 12 pm,"""Great food, friendly staff, and a welcoming atmosphere.""",,,,,Order online,
Shankar Vilas Family Restaurant,3.7,"-2,167",·,₹200–400,Vegetarian,·,Atmakur Rd,Open,· Closes 10:30 pm,"""Inglish",,cafe,,"awesome food""",,
ABRAAR NET CAFE,5.0,-2,,,Internet cafe,·,"RS ROAD, near OLD ANDHRA BANK NOONEPALLI",Open,· Closes 8 pm,"""Good service""",,,,,,
STAR GARDEN FAMILY RESTAURANT,4.0,-63,·,"₹200–1,000",Food court,,,Closed,· Opens 11 am,Dine-in,·,Drive-through,,,Order online,
STAR GARDEN FAMILY RESTAURANT,4.0,-63,·,"₹200–1,000",Food court,,,Closed,· Opens 11 am,Dine-in,·,Drive-through,,,Order online,
DUDEBUCKS,5.0,-5,,,Cafe,,,Open,· Closes 9:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Annapurna - Flavours of Rayalaseema,4.0,-128,·,"₹200–1,200",Restaurant,·,RS Road,Closed,· Opens 11:30 am,Dine-in,·,Takeaway,·,Delivery,Order online,
Sri Hridaya Inn,4.1,-281,,,Biryani,,,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,Delivery,,
Vijaya Durga Bar & Restaurant,3.6,-171,·,"₹200–1,000",Restaurant,·,"FFCC+W59, Railway Station Rd",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,,,,
Orange Restaurant,3.6,-124,·,₹1–200,Restaurant,·,"FF8R+WH8, Ngo Colony Rd",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,Delivery,,
PIZZA CASA,4.0,-333,·,₹200–400,Pizza,·,"Nunepalle Road Tekke Nandyal Opposite SBI Bank, near Sri Ram Talkies",Closed,· Opens 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Maharaja Restaurant,3.9,"-1,610",·,₹200–600,Biryani,·,"H.No 25, Opposite Shiva Shakti Gas, 684-209, main road",Closed,· Opens 11 am,"""Black",,coffee,,"""",Order online,
Aira Grand A/C Restaurant-Veg & Non-Veg,4.2,-219,·,₹1–600,Indian,,,Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,Delivery,Order online,
Mr.Idli,3.4,-250,·,₹₹,Indian,·,"Sree Subramanyeswar Shopping Complex D. No. 29/19B, A, B Block A & B Shops Tekki Main Road, opp. BSNL Office",Open,· Closes 9 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
AZMAL NET CAFE,4.1,-49,,,Internet cafe,·,·,Open,· Closes 8:30 pm,,,,,,,
Srinidhi Restaurant Veg,3.8,-165,·,₹1–200,Vegetarian,·,"FFQH+2FJ, SH 46",Closed,· Opens 11 am,Dine-in,·,Takeaway,·,Delivery,,
R C (RUDRAYACHA) RESTAURANT (FISH ANDHRA),4.3,-42,·,₹200–400,Family-friendly,·,"FFJJ+XFQ, Padmavati Nagar Rd",Open,· Closes 11 pm,Dine-in,,,,,Order online,
Hotel Taj,4.0,"-1,960",·,₹1–200,Fast Food,·,"Municipal High School, Byrmal St",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Paradise Hotel Nandyal,3.8,-51,,,Andhra,·,"FFPM+H2V, opposite more",Open,· Closes 10 pm,Dine-in,·,Drive-through,,,,
APSARA BAR & RESTAURANT,3.6,-288,·,₹200–400,Grill,·,·,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,
Vennela Ice Creams,3.8,"-1,159",·,₹₹,Ice Cream,·,·,Opens soon,· 10:45 am,Delivery,,,,,Order online,
Veg World Restaurant,3.4,-29,,,Restaurant,·,FFJP+JQX,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Hotel JayaChandra (AryaVysya Meals),4.0,-95,,,Restaurant,,,Closed,· Opens 12 pm,Dine-in,·,Takeaway,,,,
CHAI DARBAR,4.8,-4,,,Restaurant,·,"Padmavati Nagar Rd, near Bhuvana vijayan college, beside Nandyal",Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Red Bucket Biryani Nandyal,3.7,-277,·,₹1–200,Biryani,·,"25/428-4, RS road",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
FLAVOURS RESTAURANT,3.9,-289,·,₹200–400,Indian,,,Closed,· Opens 11 am,Dine-in,·,Takeaway,·,No-contact delivery,,
Friends Coffee Cafe,4.3,-45,,,Coffee shop,·,"FF7R+J8Q, near Guru Raghavendra Bank Coaching Centre",,,,,,,,,
UNIQUE CAFE,5.0,-2,,,Coffee shop,·,"26/71-C, Railway Station Rd",,,Dine-in,,,,,,
Return cafe,4.0,-1,,,Coffee shop,·,"BBKR, Railway Station Rd",,,,,,,,,
Deccan Chai Nandyal,5.0,-2,,,Cafe,·,near Ngo`s colony park,Open,· Closes 9:30 pm,Dine-in,·,Takeaway,,,,
Nandyal Bawarchi Biryani,3.8,-303,·,₹1–400,Biryani,·,Railway Station Rd,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Smile Net Cafe,4.3,-77,,,Internet cafe,·,FF8R+3F7,Open,· Closes 9:30 pm,"""Such a lovable persons with good hearts and hardworking""",,,,,,
Sri Prakruthi Organic and Millet Foods,4.8,-113,·,₹1–200,Health Food,·,"NK Rd, opp. Padmavathi Nagar Arch",Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Nandini Tea Stall,4.2,-14,,,Coffee shop,·,"FF8R+5FH, near AV Subbarao Guest House",Open,· Closes 9 pm,Drive-through,,,,,,
Chandrika bar,4.0,-286,·,"₹200–1,000",Bar,·,Railway Station Rd,Open,· Closes 10:30 pm,On the menu:,,cafes,,,,
Restaurant,4.0,-2,,,Restaurant,·,"FFMF+QR2, Padmavati Nagar Rd",,,Dine-in,·,Takeaway,,,,
