card-heading,slick-prev,slick-next,slick-dots,rating-badge,objective,objective 2,readMoreSmall,must-visit,slick-dots 2,slick-dots 3,slick-dots 4
1. Ramalingeswara Temple,Previous,Next,2.0,3.1,4 km from city center,Temple,"Also known as Ramathirdham, this temple is located 30 km from Nellore city. The presiding deities of the temple are Lord Shiva and Goddess Kamakshamma.",,,,
2. Narasimhaswamy Temple,,,,3.1,1 km from city center,Temple,"Dedicated to Lord Vishnu, Narasimhaswamy Temple lies about 13 km from center of the Nellore city. Lord Vishnu is worshipped in this in the form of his fourth incarnation.",,,,
3. Patu Ru,Previous,Next,2.0,3.1,55 km from city center,Village,"Patu Ru is a small village lying at a distance of about 10 km from Nellore and perfect place for shopaholics. Renowned for its handicrafts industry and handloom sarees, the village is settles between the triangle formed by Kovuru, Damarmadugu and Kovuru.",,,,
4. Ranganatha Temple,Previous,Next,2.0,3.4,4 km from city center,Temple,"Lying on the banks of River Pennar, Ranganatha Temple is one of the most revered temples of Nellore. The temple is great religious significance and is considered to be the oldest temples of the area which attracts devotees in such large number.",Top Attraction,,,
5. Mypadu Beach,Previous,Next,2.0,3.4,2 km from city center,Beach,"Located about 22 km from the city of Nellore, Mypadu Beach is a calm and serene beach with slow waves and gentle breeze. The salient feature of the water body is sunrise that is not to be missed.",Top Attraction,3.0,4.0,5.0
6. Barah Shaheed Dargah,Previous,Next,2.0,3.1,1 km from city center,Monument,"Barah Shaheed Dargah is a mausoleum located very close to sea in Sulurpet in Nellore District. The place was established in the honor of 12 martyrs. It is a common belief that those who visit here to pay their respects, have all their wishes fulfilled.",,,,
7. Nelapattu Bird Sanctuary,Previous,Next,2.0,3.6,73 km from city center,Bird Sanctuary,"Renowned for being one of the most significant pelican habitats in South-east Asia, the Nelapattu Bird Sanctuary in the Nellore District is every bird watcher's dream come true. This mesmerising sanctuary is located just near the village of Nelapattu and is spread over a total area of about 459 hectares.",,3.0,4.0,5.0
