bt-content,bt-content 2
Simhachalam,"is a place of pilgrimage in Visakhapatnam mandal. The word Simhachalam means the hill of lion, and it is located 244 metres above sea level. At the Simhachalan temple, one of the richest and best sculptured shrines, is found a man-lion incarnation of Lord Vishnu. Located on the hill is the Simhachalam Varaha Lakshminarasimha temple at a height of 244 metres above sea-level. Architecture of this ancient temple is rather remarkable. It contains a square shrine surmounted by a high tower, a portico in front with a small tower, a square sixteen pillared mandapam facing the portico and an enclosed veranda, all made of dark granite. All these are richly and delicately carved with conventional and floral ornaments and scenes from the Vaishnavite puranas. One of the pillars locally known as the Kappa stambam is believed to possess great curative powers. There is a stone car with stone wheels and prancing stone horses. The image of the deity is small and always kept covered with sandal paste. On the north side of the temple there is an excellent Natya mandapam where Kalyanotsavam is performed. This mandapam is supported by 96 pillars of black stone, exquisitely carved and arranged in sixteen rows of six each. Apart from the religious importance attached to the place, Simhachalam is a place of enchanting scenic beauty. It is situated on the Simhachalam range of hills about 16 km. fromÂ VisakhapatnamÂ connected by both rail and road."
Appikonda,is a small village situated on the coast of theÂ Bay of BengalÂ at a distance of 18 Kilometresfrom Visakhapatnam. Kapilamahamuni is said to have installed the image of Somalingeswara swamy in this village. It assumed religious importance owing to the existence of a Shiva temple containing a life size bull carved out of black stone. There are also other small temples around the Shiva temple but they are covered with sand dunes and their gopurams alone are visible. The Shiva temple contains inscriptions of the 12th century AD. These inscriptions mention that this village was granted by a Commander in chief of the Cholas for the maintenance of worship in the temple. The Shivaratri festival celebrated here is attended by a large number of devotees.
Padmanatham,"lies 16 kilometres North West of Bheemunipatnam on the left bank of the Gosthani River. Padmanabham is known in the local history as the place where the Raja of Vizianagaram was slain in AD 1794 in the fight with theÂ British East India Companyâ€™sÂ troops and the spot is marked by a small memory erected in his name. The Padmanabheswara Swamy temple of this place is one of the most important temples of the region. The presiding deity Padmanabha swamy is said to be the lord who readily responds to the desires of his devotees. On the top of the hill which overlooks the place, is the shrine of Padmanabha and the Kalyanostavam of the deity celebrated annually."
