card-heading,hotel-neighbourhood,rating-badge,rating-count,card-body,hotel-featured-data,price,text-muted,readMoreSmall,clickable 2,moreTextHidden
63. Fortune Park Vellore,107.3 kms from Srikalahasti,8.6,(456Â reviews),,,"â‚¹4,705",onwards,,,
64. BRICK CASTLE,"Central Chennai
				
				107.8 kms from Srikalahasti",8.4,(169Â reviews),,4 star hotel with 5 room options,"â‚¹3,300",onwards,"Brick CastleÂ in Chennai is a spacious and comfortable retreat, perfect for a weekend getaway or",(Read More),"vacation. The penthouse offers spotless and beautifully decorated rooms with crisp bed sheets. The staff is attentive and friendly, ensuring that guests are comfortable and well taken care of. The resort is pet-friendly, making it a great choice for those traveling with their furry friends. The breakfast offers a delicious variety of options, and the homemade food is a highlight. The hotel is well-run and has a peaceful atmosphere, offering an oasis of quiet within the city."
65. SRM Hotel Maraimalai Nagar Chennai,109.7 kms from Srikalahasti,8.7,(449Â reviews),,,"â‚¹6,411",onwards,,,
66. Vivanta Chennai IT Expressway OMR,"Sholinganallur
				
				109.9 kms from Srikalahasti",8.4,(1434Â reviews),,5 star hotel with 8 room options,"â‚¹5,400",onwards,"Offering decent facility-packed accommodation for travellers, Vivanta Chennai IT Expressway OMR is w",(Read More),"ell situated in the heart of IT Hub at Sholinganallur in Chennai. The property features an outdoor swimming pool, fitness centre, and spa. There are air-conditioned rooms with beautiful interiors. The staff serves with great hospitality. Also, the property has a 4,800 sq ft pillar-less ballroom. Dining options include two restaurants offering international and Chinese cuisines and a bar with an in-house DJ."
67. Novotel Chennai OMR - An Accor Brand,"Sholinganallur
				
				110.1 kms from Srikalahasti",8.5,(356Â reviews),,,"â‚¹4,792",onwards,"Guests praised the Novotel Chennai OMR for its clean rooms, delicious food",(Read More),", and excellent service from well-trained staff. The variety of food options, especially for kids, and the helpfulness of employees such as Naveen from housekeeping and Sakun in the restaurant were highlighted. Special thanks were given to specific staff members like Arnab, Sheetal, Siva, and Arnab for their exceptional service. Overall, guests had a great experience and would consider staying again in the future."
68. Palette Perumbakkam Near Sathyabama University,"Central Chennai
				
				110.7 kms from Srikalahasti",9.1,(89Â reviews),"Facilities:
     Wifi, Bar, Food",,"â‚¹5,191",onwards,,,
69. V FIVE HOTEL,111.1 kms from Srikalahasti,8.5,(80Â reviews),,,"â‚¹4,238",onwards,,,
70. Novotel Chennai Sipcot Hotel - An Accor Brand,"Old Mahabalipuram Road
				
				117.3 kms from Srikalahasti",8.6,(534Â reviews),,,"â‚¹4,384",onwards,,,
71. Ginger Chennai OMR,"SIPCOT IT Park
				
				118.4 kms from Srikalahasti",8.9,(382Â reviews),"Facilities:
     Wifi, Food",Hotel with 3 room options,"â‚¹3,499",onwards,,,
72. Days Hotel Chennai OMR,"SIPCOT IT Park
				
				119.6 kms from Srikalahasti",8.5,(256Â reviews),,,"â‚¹5,294",onwards,Days Hotel Chennai OMR offers clean and spacious rooms with polite and eff,(Read More),"icient service despite some issues. Guests appreciated the housekeeping and breakfast provided. The hotel's central location in Padur is convenient, although it lacks scenic views. Some issues reported included a cigarette smell in the washroom and connectivity problems with the WiFi. Overall, a good choice for a comfortable stay at a reasonable price."
"73. Taj Fisherman's Cove Resort & Spa, Chennai","Covelong Beach
				
				122.5 kms from Srikalahasti",8.6,(450Â reviews),,,,,Experience the charming elegance of Taj Fisherman's Cove Ã¢â‚¬â€ a 5 star beach resort that epitomizes f,(Read More),"ine living by the sea. Built on the ramparts of an old Dutch fort, the resort offers lavish rooms with an assortment of upscale amenities, multiple in-house restaurants, and a private beach at walking distance alongside a well-trained staff that augments the quality of your staycation."
74. Marutham Village Resort,135.2 kms from Srikalahasti,9.3,(317Â reviews),,,,,,,
