card-heading,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,price,text-muted,hotel-featured-data,card-body,clickable 2
37. MK Luxe,1.4 kms from MGB Felicity Mall,# 37  hotel in  Nellore,,,"₹1,439",onwards,Hotel with only 1 room option,"Facilities:
     Wifi, Pets Allowed, Food",
38. R K RESIDENCY,3.0 kms from Nellore Station,# 38  hotel in  Nellore,,,,,,,Enter dates  to see price
39. Raadhey Guest Inn,1.2 kms from Nellore Station,# 39  hotel in  Nellore,,,,,,,Enter dates  to see price
40. Dsr Paradise,3.6 kms from MGB Felicity Mall,# 40  hotel in  Nellore,,,,,,,Enter dates  to see price
41. Hotel Vintage Inn,800 m from MGB Felicity Mall,# 41  hotel in  Nellore,,,,,,,Enter dates  to see price
42. Krishnapatnam Grand Inn,21.0 kms from city centre,# 42  hotel in  Nellore,,,,,,,Enter dates  to see price
43. Hotel Shivam International,1000 m from Nellore Station,# 43  hotel in  Nellore,,,"₹1,857",onwards,,,
44. POP 88519 Sri Ksr Residency,3.7 kms from MGB Felicity Mall,# 44  hotel in  Nellore,,,,,,,Enter dates  to see price
45. OYO 88823  Hari Haran,3.2 kms from MGB Felicity Mall,# 45  hotel in  Nellore,,,,,,,Enter dates  to see price
46. i-ROOMZ GVK Residency,100 m from MGB Felicity Mall,# 46  hotel in  Nellore,,,"₹1,986",onwards,,,
47. Sri Vinayaka Lodge A/C,1.9 kms from Nellore Station,# 47  hotel in  Nellore,,,,,,,Enter dates  to see price
48. RK Residency,3.5 kms from MGB Felicity Mall,# 48  hotel in  Nellore,,,,,,,Enter dates  to see price
49. RK guest INN,900 m from MGB Felicity Mall,# 49  hotel in  Nellore,,,"₹2,361",onwards,,,
50. SPOT ON 804726 Ss Lodge,3.5 kms from MGB Felicity Mall,# 50  hotel in  Nellore,,,,,,,Enter dates  to see price
