qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,AJB7ye,AJB7ye 2
90ML Coffé&Tea,4.6,-74,Coffee shop,·,"127, Bangla Road",Open,· Closes 9:30 pm,Dine-in,·,Drive-through,,,·,₹1–200
Sd.Sharief Cool Drink Shop,5.0,-9,Restaurant,,,Open 24 hours,,Dine-in,,,,,,
TEAS N TREES,4.3,"-1,982",Coffee shop,·,"1st Lane, Pandaripuram Rd",Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,·,₹200–400
A1 CAFE,5.0,-2,Cafe,·,beside RELIANCE PETROL BUNNK,Open,· Closes 10:30 pm,Dine-in,,,,,,
The Light House Cafe,5.0,-29,Cafe,·,·,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
En Cafe,4.7,-19,Breakfast,·,"N.H. 16, Guntur, to, Ongole Highway",Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,·,₹1–200
Sri PS5 Restaurant,3.7,"-4,245",North Indian,·,,Open,· Closes 11:45 pm,Dine-in,·,Drive-through,·,No-contact delivery,·,₹200–400
Bro Cafe,5.0,-11,Cafe,·,Kothapeta - Keerthivaripalem Rd,Open,· Closes 9 pm,Dine-in,·,Drive-through,·,Delivery,,
Tea 9 cafe,4.3,-15,Tea house,·,"ML company, Krishna Mahal road, opposite Chilakaluripeta",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No delivery,,
SARVANEE TEA CAFE,4.3,-4,Coffee shop,·,2WFV+CXP,Open 24 hours,,Dine-in,,,,,,
Dosti Cafe,4.0,-2,Cafe,,,,,Dine-in,,,,,,
Sai Nandan Cafe,5.0,-13,Cafe,·,"Ramapuram beach road, junction, NH216",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,Delivery,,
La ROCKSTAR CAFE,4.3,-198,Cafe,·,"3-28-54/1B, 7th Line",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,,,·,₹200–400
