qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,ah5Ghc,W4Efsd 5
Swami Vivekananda Statue and Children Park,4.1,-39,State park,?,Open now,,"""Beautiful ????? please ??""",M37Q+J2J
The People's Park,4.4,-10,Park,?,Open 24 hours,,,QWGJ+5JR
Agape Park,5.0,-1,Park,?,Open now,,,GHWP+G7C
Sitapuram Park,4.4,-76,Park,?,Open 24 hours,,"""Very peaceful place..... A nice environment...""","Raghava Estates, Sitapuram Main Rd"
Janmabhoomi Park,3.5,-286,Park,?,Open,? Closes 6??m,"""?????? ?????? ????????? is very good  nature and good nature for children.""",P35P+PXR
Sri Ramanjaneya Park,4.5,-20,Park,?,,,"""Super navigation""",GXCF+7M7
GSL Hospital Park,4.0,-209,Park,?,Open 24 hours,,"""Nice place to relax""",?
"Park,Lakkavaram",1.0,-1,Park,?,Open now,,,CR9Q+FRH
Nature Lakshmi narayapuram,5.0,-2,Park,,,,,
Pedhha cheruvu,5.0,-1,Park,?,Open 24 hours,,,3C87+X8
Peddapuram Water Park,4.4,-32,Water park,?,,,"""It's to good to jogging""",34JH+J3C
GG COCONUT GARDEN,3.0,-2,Park,?,Open now,,,"JM23+RC7, Main Rd"
????????? ???????????????????????,4.5,-35,Park,?,,,,"3P29+GR8, Swami Vivekananda Rd"
Sir Arthur Cotton Park,4.2,-14,Park,?,,,On-site services,CPQ2+X88 Sir Arthur Cotton Park
Kanakayya Gari Thota,4.6,-5,Nature preserve,?,Open now,,,"HM9J+MQJ, Artlakatta, Palakollu"
Mollaparru Beach,4.6,-32,Tourist attraction,?,,,"""It's a place where land ends and meet the river water""",8HW6+5PC
Rotary Club Park & Rotary Blood Center,4.1,-192,Park,?,Open,? Closes 5??m,"""Better to improve""","35G2+W35, Bank Colony Main Rd"
Ramaraju konuku,5.0,-1,Park,?,,,,GVFH+43Q
varighedu manchineeti cheruvu,4.2,-16,Garden,?,Open now,,"""Purely water""",PJQ9+CV7
Childrens Park,4.4,-20,Park,?,,,"""Beautiful location, And play ground for children's.""","X754+GV3, Road"
Gandhi Park Dommeru,3.5,-41,Park,?,Open,? Closes 7??m,,2MMQ+7Q6
Coringa Wildlife Sanctuary,4.2,"-6,088",National forest,?,Open,? Closes 5??m,On-site services,?
Public park,4.0,-1,Park,?,Open now,,,QRHC+M62
Gavarapeta park,4.5,-2,Park,?,Open now,,,RXMX+JHR
Janmabhumi Park,4.1,"-2,123",Park,?,Closed,? Opens 4??m,"""Small park but clean and enjoyable play area for kids.""",?
Godavari Park,5.0,-1,Park,?,Open,? Closes 10??m,,"M7P2+3XV, KV1 Rd"
Kolleru Wildlife Sanctuary,4.3,-52,Wildlife park,?,,,"""Big flocks of glossy Ibis and lot of pelicans.""",M59P+HF
Statues Park,4.0,-1,Park,?,Open now,,,HVQQ+853
Park,4.8,-4,Park,?,Open 24 hours,,"""Wonderful statue of late Alluri""",J52W+CHG
Godavari Mega Food Park,4.6,-7,Corporate office,?,,,"""My village is very beautiful""","FHCW+CFQ, SH 229"
Park cheruvu,4.1,-31,Pond,,,,"""On the way to my shop""",
Kolamuru Ambedkar statue west Godavari,4.7,-3,Park,?,,,,JFM8+FH4
Tree park,4.2,-5,Park,?,Open now,,,G8H7+VFR
Papikonda National Park,4.4,-134,National park,?,,,"""A nice national park, not too much to do but boating on the river tho.""",MG9W+363
RMC Glow Garden,4.1,-479,Park,?,Closed,? Opens 6??m,On-site services,?
Tortoise Park,5.0,-2,Park,?,Open now,,,33R9+GR9 Aditya
Mr Karthik,5.0,-1,Park,?,Open 24 hours,,,JPR8+9GG
Amphitheatre,3.7,-13,Park,?,Open 24 hours,,,"3V69+7H5, Chennai - Kolkata Hwy"
Park,3.4,-18,Park,?,,,,VXQW+424
Eswara Temple park,4.0,-5,Park,?,Open now,,"""visit early morning or Evining""","Sri Ayyappa Swamy Temple (Dwarapudi), Bus Stop"
Gandhi Park,4.3,-10,Park,?,,,,RWHM+V4J
