qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
CHERRIES PURE VEG CAFE,4.0,-266,·,₹1–200,Restaurant,·,,·,"Jawahar street, near fire office petrol station",Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,·,Delivery,Order online,
Jaya Restaurant,4.0,"-3,451",·,₹200–400,South Indian,·,,"X64P+3FG, Vallabhai St",,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Shawarma Cafe,4.8,-52,·,₹1–200,Western,,,,,Closed,· Opens 3 pm,Dine-in,·,Takeaway,,,,
Bistroland cafe & restaurant,4.7,-93,·,₹200–400,Cafe,·,,"Government Industrial Training Institute, 67-11-1/6, road, opposite JNTU",,Open,· Closes 10 pm,Takeaway,,,,,Order online,
Mr. Irani Chai House cafe,4.9,-10,,,Tea store,·,,PARK MAIN GATE,,Closed,· Opens 4 pm,"""Beautiful chai,malai bun exllent""",,,,,,
SUBBAYYA GARI HOTEL AND AC LODGE,4.2,"-18,740",,,South Indian restaurant,·,,Unpretentious spot for vegetarian meals,,,,Dine-in,·,Drive-through,·,No-contact delivery,,
Bayside Cafe బే సైడ్ కేఫ్,3.9,-64,·,₹200–400,Cafe,·,,X7JH+38J,,Open,· Closes 9 pm,Takeaway,,,,,,
THE CAFE,4.3,-7,,,Cafe,·,,10-09-2001,,Closed,· Opens 9 am Tue,Dine-in,·,Drive-through,·,No-contact delivery,,
Veg treat @ kakinada,4.4,"-4,024",·,₹200–400,Vegetarian,·,,beside bashyam school,,Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
"Sri Yati Restaurant, Bakers & Confectioners",3.8,"-3,719",·,₹200–400,Cafe,·,,·,2-2-8 Padmapriya Complex,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
"Irani Nawabs, Kakinada",3.9,-49,·,₹1–200,Cafe,·,,Sigala Lakshmi Narayana Nagar,,Open,· Closes 10 pm,Dine-in,·,Drive-through,,,Order online,
Grand Kakinada by GRT Hotels,4.4,"-5,342",,,4-star hotel,Relaxed lodging with a pool & a bar,,,,,,Takeaway,,,,,,
Suruchi Foods Bhanugudi Junction,4.4,"-2,372",,,Sweet shop,·,,·,"Bhanugudi Jct, opp. Padmapriya Cinema Hall",Open,· Closes 9:30 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
Anand coffee shop,5.0,-4,,,Coffee shop,·,,X66W+W2H,,Open,· Closes 11 pm,Takeaway,,,,,,
Cafe Club,4.5,-8,,,Cafe,·,,X6CQ+3WV,,,,Dine-in,·,Takeaway,·,Delivery,,
Venky Residency,4.0,"-3,963",,,3-star hotel,Casual hotel with vegetarian dining,,,,,,Takeaway,,,,,,
MAKERS OF MILKSHAKES KAKINADA,4.0,-137,·,₹200–400,Restaurant,·,,"Temple St, near Vivekananda park, beside Exide battery showroom",,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,
Pedapudi coffee shop,4.2,-9,,,Coffee shop,·,,Ganjam Vari St,,Open,· Closes 8 pm,Takeaway,,,,,,
Golden Booz by Venky,4.5,-335,,,Grill,·,,"Jawahar Street, Temple St",,Opens soon,· 11 am,Dine-in,·,Takeaway,,,Order online,
Yati foods,3.6,"-1,838",·,₹200–400,Restaurant,·,,"NH 214, Bhanugudi Jct",,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
"Paradigm Sarovar Portico, Kakinada",4.4,"-5,661",,,3-star hotel,Casual hotel with dining & city views,,,,,,Takeaway,,,,,,
The Queen's Chef,4.0,-459,·,₹200–400,Restaurant,·,,DCCB St,,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
ARORA COFFEE,4.9,-147,,,Coffee roastery,·,,"1-14-4, Kondayya Palam Road, opposite to Suraksha homeo hospital",,Open,· Closes 9 pm,"""Good and natural coffee the coffee smell of Aroma is so fantastic""",,,,,,
