qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,doJOZc,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc
Gandhi Park,4.1,"-2,042",Park,·,·,?,"M K Baig Complex, K R Market Road, Near 1 Town Police Station, Opp. Gandhi High School, Tarapet, Park Road",Closed,· Opens 5 am Tue,"""Spacious park with lots of children playing areas and with good cleanliness."""
"Panchayat Park, Kunchanpalli",,,Park,·,"Indraprastha Apartment, 6, Kunchanapalli Main Rd",,,,,
Children Park,3.7,-9,Park,·,7727+R5,,,Open now,,"""Only 10years children"""
Bro Arul's Park,5.0,-1,Park,·,894C+8QP,,,,,
Park,4.5,-24,Park,·,"8CG5+6J9, Udyoga Nagar Main Rd",,,Open now,,"""Location is very good and pleasant environment.Need to develop more"""
Bhavani Island Park,4.0,"-1,251",Water park,·,·,?,GH8R+R5G,Open,· Closes 8 pm,On-site services
Kolli Sarada Park,4.0,-1,Park,·,"8C3M+XRM, 6th Ln",,,Closes soon,· 10 am · Reopens 4 pm,
A.P Secretariat Park,4.3,-77,Garden,·,GG78+MPM,,,Open now,,"""We played cricket on the road."""
Hailand water park,4.2,-637,Amusement park,·,·,?,"Mangalagiri Mandal, NH-16, near NRI Hospital",Open 24 hours,,On-site services
"Toy train at Rajiv Gandhi park, Vijayawada",4.6,-24,Park,·,·,?,"Toy train station, Rajiv Gandhi park, opposite to bus stand",Open,· Closes 9:30 pm,"""Park was and it is now maintained well."""
Trekking path At Eco park Mangalagiri,4.6,-60,Hiking area,·,CHRG+P4,,,Open,· Closes 4 pm,"""Route is steep but you can enjoy the nature."""
APTIDCO park,4.0,-9,Park,·,"445P+8RH, Unnamed Road",,,,,
Admin block park,4.3,-3,Park,·,"9GGG+3QF, Acharya Nagarjuna University Boys Hostel Rd",,,Open now,,"""Good environment"""
Mahatma Gandhi Inner Ring Road Walker's Association,4.5,-67,Park,·,"8FG5+R52, Jana Chaitanya Housing Paradise II",,,Open 24 hours,,"""Well maintained park with gym equipment facilities and kids Playing area."""
Green Park,3.8,-42,Park,·,GJP2+CGX,,,,,"""Beautiful park"""
UDA Park,5.0,-1,Park,·,"GJC2+26C, NH 65",,,,,
Spices park,5.0,-2,Government office,·,"56RP+8WC, Spices Park Rd",,,,,"""Good governance"""
YNL PARK,3.3,-7,Park,·,8FH7+PQ6,,,,,
Srikanth Nagar Park,4.4,-33,Park,·,"Srikanth Nagar, 2nd Ln, near RTC Colony",,,Closed,· Opens 12 am Tue,"""Nice park for children's and open gym."""
