imageUrl,title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url
https://lh3.googleusercontent.com/gps-cs-s/APNQkAHV0HjlRayotD3JtjytpO4shwXqKLkCyGHuZ8ARZXXM1kQXXp058p7usJzrqdkfUP4eFKmV2Udjf78rueEB1NvF3eeXDMeDfV7OldrSm-4GosztYfuJ16H85ct3ApzAZiPD0YWr=w408-h408-k-no,Spicy Bites And The Thick Shake Bar,4.9,11,"13-10-16, 2, Chitralaya Rd",Visakhapatnam,Andhra Pradesh,IN,,,Cafe,https://www.google.com/maps/search/?api=1&query=Spicy%20Bites%20And%20The%20Thick%20Shake%20Bar&query_place_id=ChIJvbUA9mJDOToRDHmiGtU14EI
https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPQJr6lD0fVVRxk9YKbuc1sUsom3YGF8wLUiL2pz_YEdqanWDR5d3J2V3A8suBhnf-CRRfzd1z6xsbMLLmXlHUYEtUXIaU79VjUH0fV4ncRlcG5xFV_O0UPxOZWgrvc127CAQ-=w408-h911-k-no,Coffee Beans Cafe,5,9,P885+M8M,Visakhapatnam,Andhra Pradesh,IN,,+91 72074 99936,Coffee shop,https://www.google.com/maps/search/?api=1&query=Coffee%20Beans%20Cafe&query_place_id=ChIJNw10VwBDOToR1Z1eW7k1XeU
https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYWRbVdCy7glkd7kkzX6ZG4RPxOSRxljCKSHkcFXYC81gKGdO7uDWPx5BiR3b1wtELRnuL1zMSruDpbA5BtD5ZZ_s01KxO2QVfRjPpSmgCXumzDtWB5QpQFLrPcu8d4m7fbjdMouOCZf1M=w408-h306-k-no,ARAKU VALLEY COFFEE,5,20,"Food court, Jail road, Ambdekar statue circle, near Rk Family store",Visakhapatnam,Andhra Pradesh,IN,,,Coffee shop,https://www.google.com/maps/search/?api=1&query=ARAKU%20VALLEY%20COFFEE&query_place_id=ChIJ8RPLsy9DOToR3h6HBvXvVrU
https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3rp98Xn_VHlWUftyZ1Yj6z7RoxqRMbl0BebUikinNY0vjDJ9ErP6UVWWN-pw00nOUMm72GvZv64JZ2zeY5jUQO2hIRLUlDH6MSYNZUv2BOaOU91NxbGU4zPhetTHAFyrwsE5o0A=w408-h544-k-no,Drunken Monkey,4,1978,"1st floor Vinayagar Kosala, beside Sarvani Sweets",Visakhapatnam,Andhra Pradesh,IN,http://www.thedrunkenmonkey.in/,+91 79955 55888,Cafe,https://www.google.com/maps/search/?api=1&query=Drunken%20Monkey&query_place_id=ChIJ66GSLjxDOToR7PdjWdMG9T4
https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1JB_5t_MziEh8ToXSP8qOI2aq2Fd-BPzGCibrdyGbSicX2SE6-HSyVr5iMwO3Fqn_zP-4j5R4KesB8RUc4a0WwVQ2-GWHMnKFEAtHyDGL0qlyTvvUH1n-8z6NNW8jaAx5vYkYXkwmsiIO=w408-h544-k-no,Chennapatnam Filter Coffee | DWARAKANAGAR,4.9,10,"Kalavaibhav shopping mall, opp. Titan Showroom",Visakhapatnam,Andhra Pradesh,IN,https://chennapatnamfiltercoffee.com/,,Coffee shop,https://www.google.com/maps/search/?api=1&query=Chennapatnam%20Filter%20Coffee%20%7C%20DWARAKANAGAR&query_place_id=ChIJI81Av7JDOToRyZ81sb3xmR0
https://lh3.googleusercontent.com/gps-cs-s/APNQkAF867SyH-AP--3EdV51qCo_wqUrJI32PlOCzopJHrEUx3iTVvq6Ny2wC62muti79DP0Zc0phPp0LLLQZGe9gfnWaa0ScwmdB-Tggm1NbA8n0bGUhAqzxGotNp4NJBsrYrR1mtRV=w408-h840-k-no,Kumbakonam Degree Coffee,4.4,21,"28-9-49/1/2, Raja Rammohan Roy Rd, near Saraswathi Park Junction",Visakhapatnam,Andhra Pradesh,IN,https://kumbakonamcoffeeindia.com/,+91 98844 06181,Coffee shop,https://www.google.com/maps/search/?api=1&query=Kumbakonam%20Degree%20Coffee&query_place_id=ChIJ9Zq4VCJDOToRhjSNJv2Z2io
https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6VzwrvH2mWv0u3Q-jXq0ocEqibG_C-r-5oOUZI1wHpMp0VehD9w5GXcCeh4n23adfcdney_4SzGly3bJ_49yWRAnIwPjbHrdtIk6ToVCTCrwU57aJkbsDA6S1uCLmT8VKTuPI=w408-h297-k-no,Chennapatnam filter coffee,4.5,12,"10-52-1, opposite Seven Hills Hospital",Visakhapatnam,Andhra Pradesh,IN,,,Coffee shop,https://www.google.com/maps/search/?api=1&query=Chennapatnam%20filter%20coffee&query_place_id=ChIJcw7xNgBDOToR5UZAoV4btHs
https://lh3.googleusercontent.com/gps-cs-s/APNQkAG42tCHXDoIE_TM_Xw785j0X3uM9tORf_lUKVAeCLiIy955099ECNqrR4npi31_OYuItxIFUpOaqixJc0Q_0o2DRp9j6d2uAvvc8Lyz3cBHzdPMK_kw7fUsHDVsMrI_OjGK2PTMOTcqWkYX=w408-h544-k-no,CAFE SAHOO,4.7,3,29-13-25,Visakhapatnam,Andhra Pradesh,IN,,+91 99593 87306,Continental restaurant,https://www.google.com/maps/search/?api=1&query=CAFE%20SAHOO&query_place_id=ChIJ5TkRW5dDOToRp0O4Syz3Shk
https://lh3.googleusercontent.com/gps-cs-s/APNQkAHzFI96e3sBw3k5WhjEyJaCbJcjBSB8EjMY2_99D0hvYRrh_S70FkHeaoXevV9szPb9IgMKsHmnTm_XLK_ZfK_9w6AHjb_gEb01D0A-chdoLd8tQT-r71WONozMo_6MYoIOB5XU=w408-h306-k-no,Divya Sri Chai Cafe,5,2,P8C5+PJG,Visakhapatnam,Andhra Pradesh,IN,,+91 63043 40709,Coffee shop,https://www.google.com/maps/search/?api=1&query=Divya%20Sri%20Chai%20Cafe&query_place_id=ChIJxXsZDgBDOToRDeZCtNBVhlw
https://lh3.googleusercontent.com/gps-cs-s/APNQkAEFTAedl_ZDRENTcLkOnGcbgxmIt8kMwGrk9xTaznN9E2Sbii7g9wxjUM0rS1zw8liuYbcmSsLSis055rI3r8wp-BTzEaQBnF-2NHrsE9xwzxqnKa07WGxl8PJfYT3pXMONVX7CIsYSb6TW=w513-h240-k-no,Gravity Roof Top,4.8,10,P8G3+G9Q bajal electronics,Visakhapatnam,Andhra Pradesh,IN,,,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=Gravity%20Roof%20Top&query_place_id=ChIJKZxvyp9DOToRmiqHBLQ9Buo
https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbstuNKqgx8VgLnLp2jL5DL54E0dc3EP-Bdo4r1zKYnPKh_VJeAweuHaQgohGl2O77xYygYv_5vp8ie0kXs8mMkpJk-sIzVibL4NdhfcKDLfAOCMlhNgCAeIQIT_47dO33XQnF=w426-h240-k-no,The 7 Cafè,4.3,42,P8G7+4FR,Visakhapatnam,Andhra Pradesh,IN,,+91 85198 39811,Coffee shop,https://www.google.com/maps/search/?api=1&query=The%207%20Caf%C3%A8&query_place_id=ChIJ-eX7gchDOToRQ_MM2knIt6Y
https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyOEDDpcCDUmYh4wqYwp5HbaLJc1BElZPmxKL9O1xWIhGTf6DW2zkaUYL7NehsAVclsY0OS0tDHyLW4LYcd4kHKgwbpWtkG-msHwxTiL3SrJAmv2N0wEyA3tmjteK7ejYQnZup=w408-h544-k-no,"DesignCafe Experience Centre, Vizag",4.8,251,"2nd Floor, Opp. to Hotel Quality Inn Bez Krishna, Above BOB Asilmetta Branch Diamond Park, Junction, 1st Ln",Visakhapatnam,Andhra Pradesh,IN,https://www.designcafe.com/cities/interior-designers-vizag/?utm_source=GMBvizag&utm_medium=organic&utm_campaign=organic,+91 80 6806 5000,Interior designer,https://www.google.com/maps/search/?api=1&query=DesignCafe%20Experience%20Centre%2C%20Vizag&query_place_id=ChIJJzhtQN5DOToRMcHr7dprVp4
https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6aHxCoGgiBI5wKGFjUB_BkcNCxrTvJ92ztS5iw20s44w1EqG5QQh3EfWC2lWMSwWrMnhagReNWucgL-inDdphEAJx1ZKr9zTcrlissKUvuBgX0Qlhwq1gxXPFkHJzQIv0lCazJw=w480-h240-k-no,Time For Tea,4.1,72,"12, S Jail Rd",Visakhapatnam,Andhra Pradesh,IN,,,Cafe,https://www.google.com/maps/search/?api=1&query=Time%20For%20Tea&query_place_id=ChIJO-IMFM9DOToREmu6wJ03hWA
https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2Qqdk0sC7-pDRopWImM5g2NAmP6USTND6BHlFr2GCEYLBcpoya661MAwnwB-VarkJaf6kNkzpj1pm0p3IJ8LBpFRhliACVJLdnAUU-w9xsCZjvNPTsJoyxqVgkzSCu4JfQl9mPK3VZ8ET=w408-h544-k-no,Tea Time,4.2,56,"P77W+7JV, Geeth Sangeeth Rd",Visakhapatnam,Andhra Pradesh,IN,,,Coffee shop,https://www.google.com/maps/search/?api=1&query=Tea%20Time&query_place_id=ChIJa0xwzRdDOToRnOiyHpQxvNc
https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZSJQkoBZOZy46e1dKaBsTBWaH7V6loC9P_DtKwVXLXkBYoYXDPsn9AN8kE0Yrrp-xv7JIRrqjGWO-zQOtz8kCaefWYsq5m-05yS1MOifvFFZzq2wprHPzIIUrb-4vVV8N5bkl5ICvhLnT=w408-h306-k-no,Horizon Restaurant,4.3,1936,"7th floor, Dolphin Hotel, 75 Feet Road, Daba Garden Rd",Visakhapatnam,Andhra Pradesh,IN,https://www.dolphinhotelsvizag.com/horizon,+91 81210 13707,Restaurant,https://www.google.com/maps/search/?api=1&query=Horizon%20Restaurant&query_place_id=ChIJU2WKahxDOToRLGbv-_IO5dU
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3c_d1gB_G9VCOtey5Mzlxg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=153.34421&pitch=0&thumbfov=100,Padma tiffen shop,5,1,Allipuram Market Rd,Visakhapatnam,Andhra Pradesh,IN,,+91 98496 38978,Tiffin center,https://www.google.com/maps/search/?api=1&query=Padma%20tiffen%20shop&query_place_id=ChIJpaua4d9DOToRS63b7nayVYg
https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKIrYjfLbNYgQx92HqIdS4yXGnxYmkZ7xqikJFuNOZSf80ZM7TZsFwUWeMMnQ9XD7rvI7UTykR7VA9Vkl_v1pEYLJSwtb7xrHyw_LnZvJsOOG9iiyTQLxujNLAhJpcavjzPKBCtA=w408-h306-k-no,Rajasthan Sharma Bhojanalaya,4.1,623,"Door Number. 32-1-45/1, Allipuram Karnala St, Beside Gokul Theatre",Visakhapatnam,Andhra Pradesh,IN,,+91 99851 08802,Rajasthani restaurant,https://www.google.com/maps/search/?api=1&query=Rajasthan%20Sharma%20Bhojanalaya&query_place_id=ChIJCeYxk25DOToR6Jiz9i5dnPg
,Tamatapu Venkata Ramana,5,1,Railway Station,Visakhapatnam,Andhra Pradesh,IN,,+91 95427 80850,Coffee shop,https://www.google.com/maps/search/?api=1&query=Tamatapu%20Venkata%20Ramana&query_place_id=ChIJfwn_-BdDOToRCR5vQv2D2hY
https://lh3.googleusercontent.com/gps-cs-s/APNQkAHnsoAYJULdhYJGfTNXODls-JHNPMQu41TZ8WGOR3KjoLhZGwR-qe4Nl2SR-Q2h25lRwDuwMJfeB9RX_kmdpKVEF4Crp8MkLHFRg56O8QSOY8p98r9oAaXtL2b4jeo3LWRx1B_q=w408-h306-k-no,Durga Tea House,5,1,"Allipuram Market Rd, opposite Mutafa Hardware",Visakhapatnam,Andhra Pradesh,IN,,+91 83286 29282,Coffee shop,https://www.google.com/maps/search/?api=1&query=Durga%20Tea%20House&query_place_id=ChIJ11FJk7FDOToRxKb50C3Og0g
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ARVjzojQLt5WE8M3I7bp0w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=314.5956&pitch=0&thumbfov=100,star alpha,5,1,"shop no 2, Bowdara Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 78931 45223,Eatery,https://www.google.com/maps/search/?api=1&query=star%20alpha&query_place_id=ChIJGWFeNuBCOToR0ztLQFEsZb0
https://lh3.googleusercontent.com/gps-proxy/ALd4DhF6_BAYLikMH05w5v0tPMdSivtD0ZsSUsLQDJp-UiW0zdCQ5rcvkhMN370qo2c-Vsi45o_WfqZPnybI-amOW93DMBR9VlYBqKrEhpMVcqnjIxq7wCn9lCZbIu9JVbPB6w7dx73cqsOgtsQ2h_xTlwQ6k6exi0JmN5yMVSmRmTg4bzDfmhi0RkDEHeSqdKph00gAEXs=w408-h306-k-no,Sri Rama Punjabi Dhaba,3.8,39,"D.No. 32-1-38/1 Bowdhara Road, Allipuram Market Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 90104 80498,Punjabi restaurant,https://www.google.com/maps/search/?api=1&query=Sri%20Rama%20Punjabi%20Dhaba&query_place_id=ChIJUejCK-BCOToRtz7OYqtPVQY
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kzmBOlEc522N66lClc_rCQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=138.76405&pitch=0&thumbfov=100,Siri Fast Food & Tiffin Centre,5,1,Allipuram Karnala St,Visakhapatnam,Andhra Pradesh,IN,,+91 96668 21356,Restaurant,https://www.google.com/maps/search/?api=1&query=Siri%20Fast%20Food%20%26%20Tiffin%20Centre&query_place_id=ChIJ8XN3Kx5DOToRGLhCIieRqUo
https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmUjt8O1lbuPcyuq2GzF7m4XiHJtVZPKubgQPfXFUcFwny96O9zKHu5gEZOjCafIMOc-A3TDneV1pKbCiw59qA_i1J6E1mZ7xEwm-UHBrmaq9V4Gt-xkG4Gf9HRttOsjwkm28=w408-h544-k-no,Punjabi Dhaba,4,65,P79P+2RP,Visakhapatnam,Andhra Pradesh,IN,,,Punjabi restaurant,https://www.google.com/maps/search/?api=1&query=Punjabi%20Dhaba&query_place_id=ChIJa4PeIudCOToRAjXPrEF2j04
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aem-Z7uPb3ZD2o8KhjWpfg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=28.12189&pitch=0&thumbfov=100,Skml Royal kitchen,4,13,Bowdara Rd,Visakhapatnam,Andhra Pradesh,IN,,+91 77992 44155,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=Skml%20Royal%20kitchen&query_place_id=ChIJ4y1B1R9DOToREVdEhZEu4yw
https://lh3.googleusercontent.com/gps-cs-s/APNQkAHweTRCW-JOOw4wBXRrwv_3nW0Rr5LbaT6LvgO4VbSwUii_DVVBLQ1ueSB_MUwC04pxPZN5OV0sJ0ShspFsSI4KjiIaleZFBtVWAWvobZ5PxDWbVp-0_bPaSHhGuNSChgxFl3Mt=w408-h856-k-no,Omkar Networks,4,1,"Door No.32-1-235, Alliporam Karnala St, Bowdara Road",Visakhapatnam,Andhra Pradesh,IN,,+91 86884 54868,Internet cafe,https://www.google.com/maps/search/?api=1&query=Omkar%20Networks&query_place_id=ChIJmdIfLeBCOToRL3Hcwbii1HM
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mObfcCNYM7wqocgzWAIaKg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=131.01048&pitch=0&thumbfov=100,Fruits Shop,,,33-1-50,Visakhapatnam,Andhra Pradesh,IN,,+91 98660 93052,Cafe,https://www.google.com/maps/search/?api=1&query=Fruits%20Shop&query_place_id=ChIJc2Ekd1ZDOToR9NS67nVtRek
https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUGy40z79NsngUik8bXABa97dmKv9SA0B0Qf-kHqx-0nTNYttJaexXFBZSd95fIV9trPPO5tRIvPc2J-7Z06Lv5lGRe5Sr3VWWsjcHz7LbEfrTEJQOlcVKrfrBFpOhwxQa73Fk=w408-h544-k-no,Santosh Kumar Foods,3,2,"Near, Station",Visakhapatnam,Andhra Pradesh,IN,,+91 95054 27078,Cafe,https://www.google.com/maps/search/?api=1&query=Santosh%20Kumar%20Foods&query_place_id=ChIJ-TFmOz1DOToRN1GClqEQkbk
https://lh3.googleusercontent.com/gps-cs-s/APNQkAFodoNPZ34sY8aF7r0ZAYFyr_7rjZR9_1-7L4d7IB7_sVIqKe5DzZPOhg_arVaqIurHcnLJF5xl5-hZMQdaeFw7F1xQxr4iz5olH3Fadryw3KXSkXEXGXDdCg4sQ_RIIMYKW3-k=w408-h725-k-no,Sri Sai Enterprises,,,"Platform no 1&2, Railway station",Visakhapatnam,Andhra Pradesh,IN,,+91 99121 21433,Restaurant,https://www.google.com/maps/search/?api=1&query=Sri%20Sai%20Enterprises&query_place_id=ChIJ_zj-LxtDOToRKC4dFrBnu7g
https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPmJjq1AFzd1JZWQAKnIBY7C5-E_NCCFAW2zNa7JUv-HJxQdT5rDJuhUvdS33R2s5PhqLQ0yYvJMIpa0BJzaInaPSihKCguBEqMusFlBeaTJ8iPlAk8dp1_d6THMG9oAejcFQ_licMl-iN=w408-h484-k-no,Sri Sai Ganesh Tiffins and Meals,1,2,"P7CP+7P5, Tgvv Gbvvvb",Visakhapatnam,Andhra Pradesh,IN,,,Indian restaurant,https://www.google.com/maps/search/?api=1&query=Sri%20Sai%20Ganesh%20Tiffins%20and%20Meals&query_place_id=ChIJFXzVdaVDOToRfbdwxEVo-wI
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LGO7_P8a1MTu_sGFN588xA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=93.778114&pitch=0&thumbfov=100,Rani Idly Rubbulu,5,1,Viz,Visakhapatnam,Andhra Pradesh,IN,,+91 99663 04983,Cafe,https://www.google.com/maps/search/?api=1&query=Rani%20Idly%20Rubbulu&query_place_id=ChIJgej9XnhDOToRRnmgRayB_B8
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QbAQmdtqB8vdSQv3Rqc0Iw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=1.8872304&pitch=0&thumbfov=100,Bismillah FAST food Restaurant,2.3,8,"P79R+4XX, Allipuram Main Rd, Beside Gokul Theater",Visakhapatnam,Andhra Pradesh,IN,,,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=Bismillah%20FAST%20food%20Restaurant&query_place_id=ChIJj6rVq1tDOToR63IbFI3qshg
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XNYAJcJ1yTI0IlNQ-sLYwQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=200.73761&pitch=0&thumbfov=100,BSK FOOD ZONE,,,,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,https://www.google.com/maps/search/?api=1&query=BSK%20FOOD%20ZONE&query_place_id=ChIJXy8IQx5DOToR7ti6Eh7grrQ
,Louts Food Plaza,,,Railway Staion,"New Conloy, Visakhapatnam",Andhra Pradesh,IN,,+91 99487 91996,Coffee shop,https://www.google.com/maps/search/?api=1&query=Louts%20Food%20Plaza&query_place_id=ChIJWbIRDRtDOToRA5VOxOETvJI
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=59ZBZWOALMTGdfTyViwkgg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=254.29907&pitch=0&thumbfov=100,Rama Food Court,,,P7CR+W92 V Bjkbbb,Visakhapatnam,Andhra Pradesh,IN,,+91 80742 84866,Coffee shop,https://www.google.com/maps/search/?api=1&query=Rama%20Food%20Court&query_place_id=ChIJ3Rfb7H1DOToRGTsxHM5hntA
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=93ZVNxN48I2gi_SN5FuCUA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=261.9948&pitch=0&thumbfov=100,Tea stall,,,2,Visakhapatnam,Andhra Pradesh,IN,,,Coffee shop,https://www.google.com/maps/search/?api=1&query=Tea%20stall&query_place_id=ChIJT1CCeQBDOToRsaeX_BDHsA8
https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDE8XVElW9txMBerquaWZ6lRrOHj8Jf3tpgq_73vJVR6ibD70_yM2NEs8hgJV3qhO8xsn2OfrLm66H34KqljK54Dqnm9GCSuCxWhKeuGnWRNDmwPadCxTVIVxZFFmrktER-x7spbgKWQ2U=w519-h240-k-no,Codegnan,5,6,"1st Floor, ASN City Center, 1st Ln, opposite Bank of India",Visakhapatnam,Andhra Pradesh,IN,https://codegnan.com/visakhapatnam-campus/,+91 99669 92587,Software training institute,https://www.google.com/maps/search/?api=1&query=Codegnan&query_place_id=ChIJZQZzoQ9DOToRit8Ihp9gGEI
https://lh3.googleusercontent.com/gps-cs-s/APNQkAHd2sXn2-XgUe8SGQkkckuX2m15d8rd2KC6KOVNmv6hLjRYKJhaScPipLGvILBU3zB2YMjMxpjFZJ3rwhkoUF-spZSFR4iw-GJOrwon6pcgZmI7vxN0SSqoTM2lD29Xigt_0VQzeA=w533-h240-k-no,Araku coffee,4.8,5,"25d/v, Bus Stop, 25p 60 60c 52D, Jail Rd",Visakhapatnam,Andhra Pradesh,IN,,,Coffee shop,https://www.google.com/maps/search/?api=1&query=Araku%20coffee&query_place_id=ChIJb4y4up9DOToRIzHuaZl6PYo
